YEAR,NERC,NERCNAME,NRNAMEPCAP,NRHTIAN,NRHTIOZ,NRHTIANT,NRHTIOZT,NRNGENAN,NRNGENOZ,NRNOXAN,NRNOXOZ,NRSO2AN,NRCO2AN,NRCH4AN,NRN2OAN,NRCO2EQA,NRHGAN,NRNOXRTA,NRNOXRTO,NRSO2RTA,NRCO2RTA,NRCH4RTA,NRN2ORTA,NRC2ERTA,NRHGRTA,NRNOXRA,NRNOXRO,NRSO2RA,NRCO2RA,NRCH4RA,NRN2ORA,NRC2ERA,NRHGRA,NRNOXCRT,NRNOXCRO,NRSO2CRT,NRCO2CRT,NRCH4CRT,NRN2OCRT,NRC2ECRT,NRHGCRT,NRCNOXRT,NRONOXRT,NRGNOXRT,NRFSNXRT,NRCNXORT,NRONXORT,NRGNXORT,NRFSNORT,NRCSO2RT,NROSO2RT,NRGSO2RT,NRFSS2RT,NRCCO2RT,NROCO2RT,NRGCO2RT,NRFSC2RT,NRCCH4RT,NROCH4RT,NRGCH4RT,NRFCH4RT,NRCN2ORT,NRON2ORT,NRGN2ORT,NRFN2ORT,NRCC2ERT,NROC2ERT,NRGC2ERT,NRFSC2ERT,NRCHGRT,NRFSHGRT,NRCNOXR,NRONOXR,NRGNOXR,NRFSNXR,NRCNXOR,NRONXOR,NRGNXOR,NRFSNOR,NRCSO2R,NROSO2R,NRGSO2R,NRFSS2R,NRCCO2R,NROCO2R,NRGCO2R,NRFSC2R,NRCCH4R,NROCH4R,NRGCH4R,NRFCH4R,NRCN2OR,NRON2OR,NRGN2OR,NRFN2OR,NRCC2ER,NROC2ER,NRGC2ER,NRFSC2ER,NRCHGR,NRFSHGR,NRNBNOX,NRNBNXO,NRNBSO2,NRNBCO2,NRNBCH4,NRNBN2O,NRNBC2E,NRNBHG,NRGENACL,NRGENAOL,NRGENAGS,NRGENANC,NRGENAHY,NRGENABM,NRGENAWI,NRGENAOP,NRGENAGT,NRGENAOF,SumOfPLGENAOP,NRGENATN,NRGENATR,NRGENATH,NRGENACY,NRGENACN,NRCLPR,NROLPR,NRGSPR,NRNCPR,NRHYPR,NRBMPR,NRWIPR,NRSOPR,NRGTPR,NROFPR,NROPPR,NRTNPR,NRTRPR,NRTHPR,NRCYPR,NRCNPR,NRNBGNCL,NRNBGNOL,NRNBGNGS,NRNBGNNC,NRNBGNHY,NRNBGNBM,NRNBGNWI,NRNBGNSO,NRNBGNGT,NRNBGNOF,NRNBGNOP,NRNBCLPR,NRNBOLPR,NRNBGSPR,NRNBNCPR,NRNBHYPR,NRNBBMPR,NRNBWIPR,NRNBSOPR,NRNBGTPR,NRNBOFPR,NRNBOPPR
2020.00,AK,Alaska,3533.80,40667726.22,15552759.07,56242312.20,22551179.04,6156046.99,2467216.00,20158.70,7943.07,1826.38,2956954.05,504434.77,70499.49,2973763.91,--,6.55,6.44,0.59,960.67,0.08,0.01,966.13,--,0.99,1.02,0.09,145.42,0.01,0.00,146.25,--,9.20,9.05,0.83,1349.87,0.12,0.02,1357.54,--,1.26,16.96,8.62,9.25,1.28,16.98,8.66,9.57,1.48,2.54,0.03,0.84,2306.09,1548.48,1025.61,1358.73,0.26,0.27,0.02,0.12,0.04,0.04,0.00,0.02,2323.81,1566.74,1026.68,1366.46,--,--,0.12,1.81,0.98,1.00,0.12,1.80,0.98,1.03,0.14,0.27,0.00,0.09,212.83,165.58,116.89,146.87,0.02,0.03,0.00,0.01,0.00,0.00,0.00,0.00,214.47,167.54,117.01,147.71,--,--,9.65,10.18,0.95,1348.66,0.12,0.02,1356.44,--,721788.94,982938.06,2640759.78,0.00,1646417.00,39064.66,128533.00,0.00,0.00,0.00,-3454.00,4342032.78,1814014.66,167597.66,4381097.44,1774950.00,0.12,0.16,0.43,0.00,0.27,0.01,0.02,0.00,0.00,0.00,0.00,0.71,0.29,0.03,0.71,0.29,411980.70,813861.64,1642257.91,0.00,0.00,26834.73,0.00,0.00,0.00,0.00,0.00,0.14,0.28,0.57,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
2020.00,HI,Hawaii,4136.90,84712916.57,34395481.36,95020748.57,39171587.36,9069240.00,3771235.41,21978.69,8818.46,27211.71,6870958.66,1446697.17,222186.01,6922105.76,--,4.85,4.68,6.00,1515.22,0.16,0.02,1526.50,--,0.52,0.51,0.64,162.22,0.02,0.00,163.43,--,5.57,5.37,6.89,1740.74,0.18,0.03,1753.70,--,2.81,6.17,0.00,5.62,2.80,6.04,0.00,5.53,5.96,7.61,0.00,7.34,2378.89,1649.51,0.00,1767.63,0.28,0.09,0.00,0.12,0.04,0.02,0.00,0.02,2398.05,1656.62,0.00,1776.69,--,--,0.25,0.61,0.00,0.55,0.25,0.60,0.00,0.54,0.54,0.75,0.00,0.71,213.89,163.13,0.00,172.03,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,215.62,163.83,0.00,172.91,--,--,6.39,6.27,7.11,1696.58,0.16,0.03,1708.35,--,1165146.70,6149205.34,0.00,0.00,98820.00,455049.90,582459.00,484030.00,9640.00,2874.05,122015.40,7439241.49,1629998.90,1531178.90,7894291.39,1174949.00,0.13,0.68,0.00,0.00,0.01,0.05,0.06,0.05,0.00,0.00,0.01,0.82,0.18,0.17,0.87,0.13,264789.86,4114810.88,0.00,0.00,0.00,280874.00,0.00,0.00,0.00,0.00,0.00,0.06,0.88,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
2020.00,MRO,Midwest Reliability Organization,189821.50,2318811233.06,1107710154.97,3762820961.23,1661551109.82,435896175.98,189072358.38,140991.68,66059.48,145832.47,203514820.97,38164786.93,5491889.90,204810172.39,--,0.65,0.70,0.67,933.78,0.09,0.01,939.72,--,0.12,0.12,0.13,175.53,0.02,0.00,176.65,--,1.19,1.28,1.23,1715.34,0.16,0.02,1726.26,--,1.52,4.58,0.61,1.17,1.49,5.55,0.64,1.16,2.00,1.43,0.02,1.22,2209.38,1428.86,1015.42,1740.05,0.25,0.14,0.02,0.16,0.04,0.02,0.00,0.02,2226.38,1438.95,1016.48,1750.78,--,--,0.14,0.50,0.07,0.12,0.14,0.53,0.07,0.12,0.19,0.16,0.00,0.13,208.37,154.51,118.80,177.68,0.02,0.02,0.00,0.02,0.00,0.00,0.00,0.00,209.97,155.60,118.93,178.77,--,--,1.22,1.23,1.16,1708.45,0.15,0.02,1718.88,--,135581887.05,469528.07,96644682.66,34353184.00,20458235.13,3902335.37,141405768.00,2390831.53,0.00,340243.88,349480.39,267739006.04,168157170.03,147698934.90,237288157.41,198608018.66,0.31,0.00,0.22,0.08,0.05,0.01,0.32,0.01,0.00,0.00,0.00,0.61,0.39,0.34,0.54,0.46,83465857.06,351576.25,59694345.01,0.00,0.00,1838296.98,0.00,0.00,0.00,63898.00,0.00,0.57,0.00,0.41,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
2020.00,NPCC,Northeast Power Coordinating Council,104415.80,942107843.79,462567891.83,1361097545.02,625643177.97,226235838.64,100835057.90,31097.55,14092.49,6001.42,52423278.33,10832494.37,1393682.20,52765276.41,--,0.28,0.28,0.05,463.44,0.05,0.01,466.46,--,0.07,0.06,0.01,111.29,0.01,0.00,112.02,--,0.54,0.55,0.10,907.58,0.09,0.01,913.51,--,3.15,4.67,0.26,0.29,6.25,4.71,0.26,0.29,4.06,1.65,0.01,0.03,2339.80,1698.41,889.51,898.01,0.28,0.07,0.02,0.02,0.04,0.01,0.00,0.00,2358.90,1704.06,890.44,899.02,--,--,0.28,0.39,0.03,0.04,0.44,0.29,0.03,0.04,0.36,0.14,0.00,0.00,204.87,140.25,118.84,119.38,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,206.54,140.71,118.97,119.52,--,--,0.44,0.41,0.09,947.76,0.05,0.01,950.87,--,308572.20,498843.19,104462326.67,64010127.00,35503346.06,10023379.28,8280119.04,2919550.65,0.00,148157.95,81418.00,169509445.00,56726395.03,21223048.97,115522697.28,110713142.75,0.00,0.00,0.46,0.28,0.16,0.04,0.04,0.01,0.00,0.00,0.00,0.75,0.25,0.09,0.51,0.49,274247.00,553093.40,60239502.19,0.00,0.00,2585442.30,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.95,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
2020.00,PR,Puerto Rico,6448.60,180694810.74,80651628.80,184458370.74,82455905.80,18215877.99,8266433.01,35615.20,16051.04,39090.36,14592589.95,1548626.97,255963.88,14650086.41,--,3.91,3.88,4.29,1602.18,0.09,0.01,1608.50,--,0.39,0.40,0.43,161.52,0.01,0.00,162.15,--,4.01,3.98,4.40,1640.83,0.09,0.01,1647.29,--,2.45,5.13,2.36,3.99,2.42,4.87,2.39,3.96,1.91,6.96,0.04,4.40,2176.33,1726.72,1056.88,1640.55,0.26,0.07,0.02,0.09,0.04,0.01,0.00,0.01,2193.85,1732.18,1057.96,1647.02,--,--,0.23,0.49,0.27,0.39,0.23,0.47,0.27,0.40,0.18,0.66,0.00,0.43,205.91,163.24,119.24,161.52,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,207.57,163.76,119.36,162.15,--,--,4.60,4.50,5.55,1673.32,0.07,0.01,1678.81,--,3065857.00,9096815.72,5627109.21,0.00,0.00,0.00,142234.00,286758.65,0.00,0.00,-2897.00,17786884.93,428992.65,428992.65,17786884.93,428992.65,0.17,0.50,0.31,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.98,0.02,0.02,0.98,0.02,581273.70,7805958.34,1712360.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.77,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,RFC,Reliability First Corporation,334640.20,4961072524.60,2307820669.04,5362610890.30,2436611021.93,875830873.38,383265768.15,217282.55,91807.25,236530.66,394206160.85,66010921.55,9303652.70,396412436.89,--,0.50,0.48,0.54,900.19,0.08,0.01,905.23,--,0.09,0.08,0.10,158.92,0.01,0.00,159.81,--,0.77,0.74,0.84,1395.08,0.12,0.02,1402.89,--,1.40,1.99,0.27,0.74,1.24,1.65,0.29,0.69,2.03,1.41,0.02,0.84,2185.80,1642.10,882.05,1413.29,0.25,0.04,0.02,0.11,0.04,0.01,0.00,0.02,2202.71,1645.15,882.95,1420.67,--,--,0.13,0.19,0.04,0.08,0.12,0.16,0.04,0.08,0.19,0.13,0.00,0.10,205.33,156.03,118.95,161.70,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,206.92,156.32,119.07,162.54,--,--,1.02,0.95,1.13,1637.02,0.15,0.02,1646.95,--,216311458.61,2613463.05,331492422.20,267446700.00,7448212.36,9215413.49,32394866.52,3288479.97,0.00,5176354.59,443503.22,823367837.66,52346972.34,44898759.98,565136551.15,310578258.85,0.25,0.00,0.38,0.31,0.01,0.01,0.04,0.00,0.00,0.01,0.00,0.94,0.06,0.05,0.65,0.35,136941937.83,3577275.15,110288677.81,0.00,0.00,2719866.80,0.00,0.00,0.00,121778.55,0.00,0.54,0.01,0.43,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
2020.00,SERC,SERC Reliability Corporation,503925.10,7487117865.48,3589528619.36,8238439916.94,3899920740.27,1312965943.44,595823146.70,277324.52,132475.95,306608.59,545942862.57,80902212.53,11443141.30,548619979.51,--,0.42,0.45,0.47,831.62,0.06,0.01,835.70,--,0.07,0.07,0.08,145.84,0.01,0.00,146.55,--,0.61,0.64,0.68,1204.97,0.09,0.01,1210.88,--,1.21,1.11,0.30,0.58,1.17,1.02,0.32,0.60,1.91,4.38,0.03,0.64,2009.47,2009.45,887.08,1239.50,0.22,0.14,0.02,0.08,0.03,0.02,0.00,0.01,2024.29,2019.41,888.13,1244.83,--,--,0.12,0.11,0.04,0.07,0.11,0.10,0.04,0.07,0.19,0.44,0.00,0.08,197.40,200.02,119.91,149.93,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,198.86,201.01,120.05,150.57,--,--,0.68,0.71,0.65,1273.90,0.09,0.01,1280.01,--,230499879.11,5985492.69,636437561.82,325391966.00,51909234.77,28299812.74,6952745.78,22562321.24,0.00,2572034.13,2354895.17,1203241828.92,109724114.53,57814879.76,906149675.66,406816267.79,0.18,0.00,0.48,0.25,0.04,0.02,0.01,0.02,0.00,0.00,0.00,0.92,0.08,0.04,0.69,0.31,161011931.61,6546186.24,324916780.12,0.00,0.00,11260563.65,0.00,0.00,0.00,17009.05,0.00,0.32,0.01,0.64,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
2020.00,TRE,Texas Regional Entity,185541.70,2260809107.89,1122387478.69,3066619986.41,1454377286.62,410598404.76,192882138.03,93311.21,44326.77,108989.52,168213683.07,21521616.43,2985351.98,168925475.85,--,0.46,0.46,0.53,819.36,0.05,0.01,822.83,--,0.08,0.08,0.10,148.81,0.01,0.00,149.44,--,0.68,0.68,0.79,1218.60,0.08,0.01,1223.75,--,1.20,3.88,0.51,0.68,1.22,3.74,0.47,0.65,3.07,10.49,0.01,0.79,2284.30,2196.92,871.76,1225.68,0.26,0.05,0.02,0.08,0.04,0.01,0.00,0.01,2302.13,2201.07,872.64,1230.85,--,--,0.11,0.30,0.07,0.08,0.11,0.30,0.06,0.08,0.28,0.82,0.00,0.10,210.61,171.40,118.40,149.32,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,212.25,171.72,118.52,149.95,--,--,0.77,0.73,0.91,1302.92,0.09,0.01,1308.71,--,68260811.25,125394.54,204398331.96,41438705.00,758916.61,769375.00,83823169.42,8500002.24,0.00,2090077.27,433621.00,316746941.02,93851463.27,93092546.66,276077611.03,134520793.27,0.17,0.00,0.50,0.10,0.00,0.00,0.20,0.02,0.00,0.01,0.00,0.77,0.23,0.23,0.67,0.33,41943362.41,149008.87,100998643.60,0.00,0.00,124403.19,0.00,0.00,0.00,1783436.35,0.00,0.29,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
2020.00,WECC,Western Electricity Coordinating Council,323724.10,3384573521.48,1490297138.91,5947225591.30,2688294623.64,726581052.23,327903828.61,185095.85,80485.96,82043.28,256674484.32,40600376.53,5671175.06,258026993.90,--,0.51,0.49,0.23,706.53,0.06,0.01,710.25,--,0.11,0.11,0.05,151.67,0.01,0.00,152.47,--,0.98,0.94,0.43,1356.92,0.11,0.02,1364.07,--,1.77,4.74,0.53,0.94,1.76,6.13,0.54,0.93,1.19,20.44,0.01,0.42,2345.53,2725.27,917.45,1386.32,0.26,0.07,0.02,0.10,0.04,0.01,0.00,0.01,2363.33,2730.92,918.38,1392.78,--,--,0.16,0.38,0.07,0.11,0.16,0.39,0.07,0.10,0.11,1.63,0.00,0.05,207.88,217.88,118.72,155.92,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,209.45,218.34,118.85,156.64,--,--,1.03,1.02,0.38,1382.91,0.10,0.02,1389.85,--,119494890.13,495279.61,245863271.03,57238181.00,161911529.53,9352571.11,64266604.18,48966627.73,15880057.00,2245930.99,866110.24,426203663.00,300377389.55,138465860.02,378318053.11,348262999.44,0.16,0.00,0.34,0.08,0.22,0.01,0.09,0.07,0.02,0.00,0.00,0.59,0.41,0.19,0.52,0.48,69336282.06,127685.86,142229984.86,0.00,0.00,3637509.00,0.00,0.00,0.00,280966.47,0.00,0.32,0.00,0.66,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
